No.,Time,Source,Destination,Protocol,Length,Ping,seq,ttl
1290,1250.841084,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,124/31744,128 (request in 1289)
1291,1251.371393,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,209/53504,128 (reply in 1292)
1292,1251.374408,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,209/53504,126 (request in 1291)
1293,1251.847246,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,125/32000,126 (reply in 1294)
1294,1251.847305,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,125/32000,128 (request in 1293)
1296,1252.387011,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,210/53760,128 (reply in 1297)
1297,1252.390100,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,210/53760,126 (request in 1296)
1300,1252.851203,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,126/32256,126 (reply in 1301)
1301,1252.851252,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,126/32256,128 (request in 1300)
1303,1253.402680,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,211/54016,128 (reply in 1304)
1304,1253.405788,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,211/54016,126 (request in 1303)
1305,1253.868296,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,127/32512,126 (reply in 1306)
1306,1253.868346,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,127/32512,128 (request in 1305)
1308,1254.418301,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,212/54272,128 (reply in 1309)
1309,1254.421429,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,212/54272,126 (request in 1308)
1310,1254.883793,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,128/32768,126 (reply in 1311)
1311,1254.883847,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,128/32768,128 (request in 1310)
1312,1255.433945,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,213/54528,128 (reply in 1313)
1313,1255.437089,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,213/54528,126 (request in 1312)
1314,1255.887930,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,129/33024,126 (reply in 1315)
1315,1255.887993,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,129/33024,128 (request in 1314)
1317,1256.449573,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,214/54784,128 (reply in 1318)
1318,1256.452645,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,214/54784,126 (request in 1317)
1319,1256.890402,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,130/33280,126 (reply in 1320)
1320,1256.890463,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,130/33280,128 (request in 1319)
1321,1257.465211,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,215/55040,128 (reply in 1322)
1322,1257.468331,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,215/55040,126 (request in 1321)
1323,1257.908198,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,131/33536,126 (reply in 1324)
1324,1257.908262,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,131/33536,128 (request in 1323)
1326,1258.480848,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,216/55296,128 (reply in 1327)
1327,1258.483891,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,216/55296,126 (request in 1326)
1328,1258.925999,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,132/33792,126 (reply in 1329)
1329,1258.926051,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,132/33792,128 (request in 1328)
1330,1259.496455,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,217/55552,128 (reply in 1331)
1331,1259.499236,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,217/55552,126 (request in 1330)
1332,1259.936455,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,133/34048,126 (reply in 1333)
1333,1259.936515,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,133/34048,128 (request in 1332)
1335,1260.512091,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,218/55808,128 (reply in 1336)
1336,1260.515179,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,218/55808,126 (request in 1335)
1337,1260.939551,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,134/34304,126 (reply in 1338)
1338,1260.939601,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,134/34304,128 (request in 1337)
1339,1261.527729,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,219/56064,128 (reply in 1340)
1340,1261.530845,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,219/56064,126 (request in 1339)
1341,1261.945312,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,135/34560,126 (reply in 1342)
1342,1261.945373,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,135/34560,128 (request in 1341)
1344,1262.543364,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,220/56320,128 (reply in 1345)
1345,1262.546567,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,220/56320,126 (request in 1344)
1346,1262.957911,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,136/34816,126 (reply in 1347)
1347,1262.957961,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,136/34816,128 (request in 1346)
1349,1263.559003,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,221/56576,128 (reply in 1350)
1350,1263.562137,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,221/56576,126 (request in 1349)
1351,1263.974993,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,137/35072,126 (reply in 1352)
1352,1263.975055,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,137/35072,128 (request in 1351)
1354,1264.574680,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,222/56832,128 (reply in 1355)
1355,1264.577903,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,222/56832,126 (request in 1354)
1356,1264.987080,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,138/35328,126 (reply in 1357)
1357,1264.987140,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,138/35328,128 (request in 1356)
1358,1265.590308,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,223/57088,128 (reply in 1359)
1359,1265.593359,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,223/57088,126 (request in 1358)
1360,1266.003174,192.168.200.2,192.168.100.2,ICMP,542,Echo (ping) request,139/35584,126 (reply in 1361)
1361,1266.003226,192.168.100.2,192.168.200.2,ICMP,542,Echo (ping) reply,139/35584,128 (request in 1360)
1363,1266.605967,192.168.100.2,192.168.200.1,ICMP,542,Echo (ping) request,224/57344,128 (reply in 1364)
1364,1266.609035,192.168.200.1,192.168.100.2,ICMP,542,Echo (ping) reply,224/57344,126 (request in 1363)
